cycle;name;location.x;location.y;location.z;name;type;id;color;line;connected;momentToConnect;neighbors;connected_neighbors;individual_chance_to_connect
764;;583.036913025484;757.3842983927267;0.0;;EFH;167317710;rgb (0, 255, 0,255);nil;true;22;[building(98),building(115)];[building(98),building(115)];0.10500000000000001
764;;594.0972995750074;766.0278130014028;0.0;;EFH;167317711;rgb (0, 255, 0,255);nil;true;48;[building(92),building(114)];[building(114),building(92)];0.10500000000000001
764;;489.35361013072543;673.076921221401;0.0;;SON;167317713;rgb (0, 255, 0,255);nil;true;7;[building(102),building(119),building(107)];[building(102),building(107),building(119)];0.15500000000000003
764;;124.95561813273733;423.1556912562145;0.0;;M-MG;167317715;rgb (0, 255, 0,255);nil;true;454;[];[];0.005
764;;276.1736047047598;583.8097198747564;0.0;;MFH;167317722;rgb (0, 255, 0,255);nil;true;98;[building(109)];[building(109)];0.055
764;;510.1435189604672;698.339736525435;0.0;;EFH;167317723;rgb (0, 255, 0,255);nil;true;12;[building(116),building(102),building(80)];[building(116),building(102),building(80)];0.15500000000000003
764;TC-Hydraulik;636.0647476040425;975.8162244443914;0.0;TC-Hydraulik;SON;167317724;rgb (0, 255, 0,255);nil;true;65;[building(66),building(134)];[building(134),building(66)];0.10500000000000001
764;;367.03925225967544;676.6977191507816;0.0;;EFH;167319767;rgb (0, 255, 0,255);nil;true;32;[building(85),building(131),building(60),building(130)];[building(130),building(131),building(60),building(85)];0.20500000000000002
764;;438.70006126281805;700.1948445043527;0.0;;EFH;167319773;rgb (0, 255, 0,255);nil;true;28;[building(129)];[building(129)];0.055
764;;540.6547998931783;792.9354472917039;0.0;;EFH;167319776;rgb (0, 255, 0,255);nil;true;94;[building(124)];[building(124)];0.055
764;;532.2974891218822;770.5849527100102;0.0;;EFH;167319781;rgb (0, 255, 0,255);nil;true;82;[building(127),building(123)];[building(127),building(123)];0.10500000000000001
764;;482.1347001805669;735.1840127564967;0.0;;MFH;167319783;rgb (0, 255, 0,255);nil;true;15;[building(128),building(127)];[building(128),building(127)];0.10500000000000001
764;;433.66285430449835;765.6196463657543;0.0;;SON;167319784;rgb (0, 255, 0,255);nil;true;130;[];[];0.005
764;;503.78856752975844;755.6750729121268;0.0;;EFH;167319785;rgb (0, 255, 0,255);nil;true;44;[building(124),building(125)];[building(125),building(124)];0.10500000000000001
764;;466.9492373764903;722.9333678314773;0.0;;EFH;167319787;rgb (0, 255, 0,255);nil;true;5;[building(125)];[building(125)];0.055
764;;421.17837341201295;694.9359847352441;0.0;;EFH;167319789;rgb (0, 255, 0,255);nil;true;14;[building(122),building(130)];[building(130),building(122)];0.10500000000000001
